,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
,Tales by the Fire,Tales by the Fire,حكايات بجانب النار,火边的故事,火邊的故事,Verhalen bij het vuur,Tales by the Fire,Tarinoita tulen äärellä,Contes au coin du feu,Geschichten am Feuer,आग की कहानियाँ,Kisah di Dekat Api,Racconti accanto al fuoco,불 옆의 이야기,火のそばでの物語,Tales by the Fire,Historier ved bålet,Opowieści przy ognisku,Contos à Beira da Fogueira,Contos à Beira da Fogueira,Сказки у огня,Cuentos junto al fuego,Berättelser vid elden,นิทานข้างกองไฟ,Ateşin Yanındaki Hikayeler,Những câu chuyện bên ngọn lửa,
,Aurora Borealis,Aurora Borealis,الشفق القطبي,北极光,北極光,Noorderlicht,Aurora Borealis,Revontulet,Aurore boréale,Nordlicht,औरोरा बोरियालिस,Aurora Borealis,Aurora boreale,오로라 보레알리스,オーロラ,Aurora Borealis,Aurora Borealis,Zorza polarna,Aurora boreal,Aurora boreal,Северное сияние,Aurora boreal,Norrsken,แสงเหนือ,Aurora Borealis,Cực quang,
,Song of Ice and Snow,Song of Ice and Snow,أغنية الجليد والثلج,冰与雪之歌,冰與雪之歌,Lied van ijs en sneeuw,Awit ng Yelo at Niyebe,Jään ja lumen laulu,Le Chant de la Glace et de la Neige,Das Lied von Eis und Schnee,बर्फ और हिम का गीत,Lagu Es dan Salju,Canzone del ghiaccio e della neve,얼음과 눈의 노래,氷と雪の歌,Lagu Ais dan Salji,Sang om is og snø,Pieśń lodu i śniegu,Canção de Gelo e Neve,Canção de Gelo e Neve,Песнь Льда и Снега,Canción de hielo y nieve,Sång om is och snö,เพลงแห่งน้ำแข็งและหิมะ,Buz ve Kar Şarkısı,Bài ca của băng và tuyết,
,Following Your Footsteps,Following Your Footsteps,اتباع خطواتك,追随你的脚步,跟隨你的腳步,In jouw voetsporen treden,Sinusundan ang Iyong mga Yapak,Jalanjäljissäsi,Suivre vos traces,In deine Fußstapfen treten,आपके पदचिन्हों पर चलते हुए,Mengikuti Jejakmu,Seguendo le tue orme,당신의 발자취를 따라가다,あなたの足跡をたどる,Mengikuti Jejak Anda,Følger dine fotspor,Podążając Twoimi śladami,Seguindo os seus passos,Seguindo os seus passos,По твоим следам,Siguiendo tus pasos,Följa dina fotspår,เดินตามรอยเท้าของคุณ,Adımlarınızı Takip Ediyoruz,Theo Bước Chân Bạn,
,Polar Lights Shining,Polar Lights Shining,أضواء قطبية ساطعة,极光闪耀,極光閃耀,Het poollicht schijnt,Nagniningning ang mga Polar Lights,Polar Lights Hohtaa,Aurores polaires brillantes,Polarlichter leuchten,ध्रुवीय रोशनी चमक रही है,Cahaya Kutub Bersinar,Luci polari brillanti,극광이 빛난다,ポーラーライトが輝く,Lampu Kutub Bersinar,Polarlysene skinner,Świecące zorze polarne,Luzes polares brilhando,Luzes polares brilhando,Полярное сияние,Luces polares brillando,Polarljus lyser,แสงขั้วโลกส่องแสง,Kutup Işıkları Parlıyor,Ánh sáng cực quang tỏa sáng,
,Fraxyion,Fraxyion,فراكسيون,弗拉西翁,弗拉西翁,Fraxyion,Fraxyion,Fraxyion,Fraxyion,Fraxyion,फ्रैक्सियन,Fraxyion,Fraxyion,프락시온,フラクシオン,Fraksi,Fraxyion,Fraxyion,Fraxyion,Fraxyion,Фраксион,Fraxyion,Fraxyion,แฟร็กซิออน,Fraxyion,Fraxyion,
,Whispering Winds,Whispering Winds,رياح الهمسات,低语的风,低語的風,Fluisterende winden,Bumubulong na Hangin,Kuiskaavat tuulet,Vents murmurants,Flüsternde Winde,फुसफुसाती हवाएँ,Angin Berbisik,Venti sussurranti,속삭이는 바람,ささやく風,Angin Berbisik,Hviskende vinder,Szepczące Wiatry,Ventos sussurrantes,Ventos sussurrantes,Шепчущие Ветры,Vientos susurrantes,Viskande vindar,เสียงกระซิบลม,Fısıldayan Rüzgarlar,Gió thì thầm,
,Story in Frosted Ink,Story in Frosted Ink,قصة بالحبر المُجمد,磨砂墨水中的故事,磨砂墨水中的故事,Verhaal in matte inkt,Kuwento sa Frosted Ink,Tarina huurteisella musteella,Histoire à l'encre givrée,Geschichte in frostiger Tinte,पाले से ढकी स्याही में कहानी,Cerita dalam Tinta Buram,Storia in inchiostro satinato,서리 잉크로 쓴 스토리,フロストインクの物語,Cerita dalam Dakwat Frosted,Historie i frostet blekk,Historia w matowym tuszu,História em tinta fosca,História em tinta fosca,История в матовых чернилах,Historia en tinta esmerilada,Berättelse i frostat bläck,เรื่องราวใน Frosted Ink,Buzlu Mürekkeple Hikaye,Câu chuyện bằng mực mờ,
,Halcyon Days,Halcyon Days,أيام هادئة,美好时光,美好時光,Halcyon Dagen,Mga Araw ng Halcyon,Onnellinen aika,Jours paisibles,Unbeschwerte Tage,आनंदमय दिन,Hari-hari Tenang,Giorni felici,Halcyon Days,ハルシオンデイズ,Hari Halcyon,Halcyon-dager,Dni Szału,Dias de Calmaria,Dias de Calmaria,Безмятежные дни,Días felices,Halcyon-dagarna,วันฮัลซิออน,Sakin Günler,Những ngày yên bình,
,Swiss_Town_of_Beginnings,Swiss: Town of Beginnings,سويس: مدينة البدايات,瑞士：起点之城,瑞士：起點之城,Zwitserland: Stad van Beginnen,Swiss: Bayan ng mga Simula,Sveitsi: Alkujen Kaupunki,Suisse : Ville des Commencements,Schweiz: Stadt des Anfangs,स्विट्ज़रलैंड: शुरुआतों का शहर,Swiss: Kota Awal,Svizzera: Città degli Inizi,스위스: 시작의 마을,スイス：始まりの町,Switzerland: Bandar Permulaan,Sveits: Begynnelsenes By,Szwajcaria: Miasto Początków,Suíça: Cidade dos Começos,Suíça: Cidade dos Começos,Швейцария: Город Начал,Suiza: Ciudad de los Comienzos,Schweiz: Börjandets Stad,สวิตเซอร์แลนด์: เมืองแห่งการเริ่มต้น,İsviçre: Başlangıçlar Şehri,Thụy Sĩ: Thị Trấn Khởi Đầu,
,Together_s_Travels,Together's Travels,رحلات معًا,一起的旅程,一起的旅程,Gezamenlijke Reizen,Mga Paglalakbay ng Magkasama,Yhdessä Matkat,Voyages Ensemble,Gemeinsame Reisen,साथ की यात्राएँ,Perjalanan Bersama,Viaggi Insieme,함께하는 여행,一緒の旅,Perjalanan Bersama,Sammenes Reiser,Wspólne Podróże,Viagens Juntas,Viagens Juntas,Совместные Путешествия,Viajes Juntos,Tillsammans Resor,การเดินทางร่วมกัน,Birlikte Yolculuklar,Những Chuyến Đi Cùng Nhau,
,Hidden_Grotto_Skirmish,Hidden Grotto: Skirmish,الكهف المخفي: مناوشة,隐秘洞窟：小冲突,隱秘洞窟：小衝突,Verborgen Grot: Schermutseling,Nakatagong Lungib: Sagupaan,Piilotettu Luola: Tappelukohtaus,Grotte Cachée : Escarmouche,Verborgene Grotte: Scharmützel,छिपा गुफा: झड़प,Gua Tersembunyi: Bentrokan,Grotta Nascosta: Scaramuccia,숨겨진 동굴: 작은 전투,隠された洞窟：小競り合い,Gua Tersembunyi: Pertempuran Kecil,Skjult Hule: Sammenstøt,Ukryta Grota: Potyczka,Gruta Escondida: Escaramuça,Gruta Escondida: Escaramuça,Скрытая Грота: Столкновение,Gruta Oculta: Escaramuza,Dold Grotta: Sammandrabbning,ถ้ำลับ: การปะทะเล็กน้อย,Gizli Mağara: Çatışma,Hang Ẩn: Giao Chiến,
,The_Weight_of_a_Feather,The Weight of a Feather,وزن الريشة,羽毛的重量,羽毛的重量,Het Gewicht van een Veer,Timbang ng Isang Balahibo,Sulan Paino,Le Poids d’une Plume,Das Gewicht einer Feder,एक पंख का वजन,Berat Bulu,Il Peso di una Piuma,깃털의 무게,羽の重さ,Berat Bulu,Vekten av en Fjær,Waga Pióra,O Peso de uma Pena,O Peso de uma Pena,Вес Пера,El Peso de una Pluma,Vikten av en Fjäder,น้ำหนักของขนนก,Bir Tüyün Ağırlığı,Trọng Lượng Của Một Lông Vũ,
,Entrance_to_the_Deep,Entrance to the Deep,مدخل العمق,深渊入口,深淵入口,Toegang tot de Diepte,Pasukan sa Kailaliman,Sisäänkäynti Syvyyteen,Entrée dans les Profondeurs,Eingang in die Tiefe,गहराई में प्रवेश,Pintu ke Kedalaman,Ingresso nel Profondo,깊은 곳으로의 입구,深淵への入口,Pintu ke Kedalaman,Inngang til Dypet,Wejście w Głębię,Entrada para o Profundo,Entrada para o Profundo,Вход в Глубину,Entrada a lo Profundo,Ingång till Djupet,ทางเข้าแห่งความลึก,Derinliğe Giriş,Lối Vào Sâu Thẳm,
,Back_Against_the_Wall,Back Against the Wall,الظهر إلى الحائط,背水一战,背水一戰,Rug Tegen de Muur,Likod sa Pader,Selkä Seinää Vastaan,Dos au Mur,Mit dem Rücken zur Wand,दीवार के खिलाफ पीठ,Punggung ke Dinding,Schiena al Muro,벽에 등을 기대고,壁に背を向けて,Belakang ke Dinding,Rygg mot Veggen,Plecy do Ściany,Costas à Parede,Costas à Parede,Спиной к Стене,Espalda Contra la Pared,Rygg mot Vägg,หลังชนฝา,Sırtı Duvara,Lưng Tựa Vào Tường,
,Apex_of_the_Sky,Apex of the Sky,قمة السماء,天空的顶点,天空的頂點,Hoogtepunt van de Hemel,Tuktok ng Kalangitan,Taivaan Huippu,Apogée du Ciel,Höhepunkt des Himmels,आकाश का शिखर,Puncak Langit,Apice del Cielo,하늘의 꼭대기,空の頂点,Puncak Langit,Himmeltoppen,Szczyt Nieba,Ápice do Céu,Ápice do Céu,Вершина Неба,Cima del Cielo,Himlens Topp,จุดสูงสุดของท้องฟ้า,Gökyüzünün Zirvesi,Đỉnh Trời,
,Prophecy_of_the_Stars,Prophecy of the Stars,نبوءة النجوم,星辰的预言,星辰的預言,Profetie van de Sterren,Propesiya ng mga Bituin,Tähtien Ennustus,Prophétie des Étoiles,Prophezeiung der Sterne,सितारों की भविष्यवाणी,Ramalan Bintang,Profezia delle Stelle,별의 예언,星の予言,Ramalan Bintang,Stjernenes Profeti,Proroctwo Gwiazd,Profecia das Estrelas,Profecia das Estrelas,Пророчество Звёзд,Profecía de las Estrellas,Stjärnornas Profetia,คำทำนายแห่งดวงดาว,Yıldızların Kehaneti,Lời Tiên Tri của Các Vì Sao,
,Love's Sorrow,Love's Sorrow,حزن الحب,爱的悲伤,愛的悲傷,Het verdriet van de liefde,Love's Sorrow,Love's Sorrow,Le chagrin de l'amour,Liebeskummer,Love's Sorrow,Kesedihan Cinta,Dolore d'amore,사랑의 슬픔,愛の悲しみ,Love's Sorrow,Kjærlighetssorg,Smutek miłości,A tristeza do amor,A tristeza do amor,Печаль любви,El dolor del amor,Kärlekssorg,ความรักคือความทุกข์,Aşkın Hüznü,Nỗi buồn tình yêu,
,Sonatina in C Op.36 No.1,Sonatina in C Op.36 No.1,سوناتينا في C Op.36 رقم 1,C Op.36 No.1 奏鸣曲,C Op.36 No.1 奏鳴曲,Sonatine in C Op.36 nr.1,Sonatina in C Op.36 No.1,Sonatina in C Op.36 No.1,Sonatine en ut Op.36 No.1,Sonatine in C Op.36 Nr.1,Sonatina in C Op.36 No.1,Sonatina di C Op.36 No.1,Sonatina in do op.36 n.1,C장조 소나티나 Op.36 1번,ソナチネ ハ長調 Op.36 No.1,Sonatina in C Op.36 No.1,Sonatina i C op.36 nr.1,Sonatina C op.36 nr 1,Sonatina em Dó Maior Op.36 No.1,Sonatina em Dó Maior Op.36 No.1,Сонатина до мажор Op.36 №1,Sonatina en Do Op. 36 No. 1,Sonatina i C-dur Op.36 Nr.1,โซนาตินาในซีเมเจอร์ ออปัส 36 หมายเลข 1,C Majör Sonatina Op.36 No.1,Sonatina trong C Op.36 No.1,
,Piano Concerto No.2,Piano Concerto No.2,كونشيرتو البيانو رقم 2,第二钢琴协奏曲,第二號鋼琴協奏曲,Pianoconcert nr.2,Piano Concerto No.2,Piano Concerto No.2,Concerto pour piano No.2,Klavierkonzert Nr.2,Piano Concerto No.2,Konser Piano No.2,Concerto per pianoforte n.2,피아노 협주곡 2번,ピアノ協奏曲第2番,Piano Concerto No.2,Pianokonsert nr.2,Koncert fortepianowy nr 2,Concerto para Piano No.2,Concerto para Piano No.2,Фортепианный концерт №2,Concierto para piano No.2,Pianokonsert no.2,เปียโนคอนแชร์โต้หมายเลข 2,2. Piyano Konçertosu,Piano Concerto No.2,
,"Black Key Etude (Op.10, No.5)","Black Key Etude (Op.10, No.5)",مقطوعة موسيقية للمفتاح الأسود (المرجع 10، رقم 5),黑键练习曲（Op.10，No.5）,黑鍵練習曲（Op.10，No.5）,"Black Key Etude (Op.10, nr.5)","Black Key Etude (Op.10, No.5)","Black Key Etude (Op.10, No.5)","Étude de clé noire (Op.10, No.5)","Black Key Etüde (Op.10, Nr.5)","Black Key Etude (Op.10, No.5)","Etude Kunci Hitam (Op.10, No.5)","Black Key Etude (Op.10, n.5)","블랙 키 에튀드 Op.10, 5번","黒鍵の練習曲 (Op.10, No.5)","Black Key Etude (Op.10, No.5)","Black Key Etude (Op.10, Nr.5)",Etiuda Czarne klawisze Op.10 nr 5,"Estudo Black Key (Op.10, No.5)","Estudo Black Key (Op.10, No.5)","Этюд ""Черные клавиши"" Op.10 №5","Estudio de Tecla Negra (Op.10, No.5)","Black Key Etude (Op.10, No.5)",แบบฝึกหัดคีย์ดำ (Op.10 หมายเลข 5),"Siyah Tuş Etüdü (Op.10, No.5)","Black Key Etude (Op.10, Số 5)",
,Four Seasons - Winter,Four Seasons - Winter,الفصول الاربعة - الشتاء,四个季节 - 冬季,四季 - 冬季,Vier Seizoenen - Winter,Four Seasons - Winter,Four Seasons - Winter,Quatre saisons - Hiver,Vier Jahreszeiten - Winter,Four Seasons - Winter,Empat Musim - Musim Dingin,Le quattro stagioni – L’inverno,사계절 - 겨울,四季 - 冬,Four Seasons - Winter,De fire årstider - Vinter,Cztery pory roku – zima,As Quatro Estações - Inverno,As Quatro Estações - Inverno,Четыре сезона - Зима,Las Cuatro Estaciones - Invierno,De fyra årstiderna – Vintern,สี่ฤดู - ฤดูหนาว,Dört Mevsim – Kış,Four Seasons - Winter,
,She'll be Coming Around the Mountain,She'll be Coming Around the Mountain,سوف تأتي حول الجبل,她会绕山而来,她會繞山而來,Ze komt de berg rond,She'll be Coming Around the Mountain,She'll be Coming Around the Mountain,Elle viendra autour de la montagne,Sie wird um den Berg herumkommen,She'll be Coming Around the Mountain,Dia akan datang mengelilingi gunung,Lei farà il giro della montagna,그녀는 산 주위로 올 것이다,彼女は山の周りに来るでしょう,She'll be Coming Around the Mountain,Hun kommer rundt fjellet,Ona będzie krążyć po górach,Ela Virá em Torno da Montanha,Ela Virá em Torno da Montanha,Она обойдет гору,Cuando Ella Venga Bajando la Montaña,She'll be Coming Around the Mountain,เธอกำลังมารอบภูเขา,O Dağın Etrafından Geliyor Olacak,Cô ấy sẽ đến quanh ngọn núi,
,Suite Gothique Op 25,Suite Gothique Op 25,جناح جوثيك، Op 25,哥特组曲 Op 25,哥德組曲 Op 25,Suite Gothic opus 25,Suite Gothique Op 25,Suite Gothique Op 25,Suite Gothique Op. 25,Suite Gothique op. 25,Suite Gothique Op 25,Suite Gotik Op 25,Suite Gotica Op 25,스위트 고딕 Op 25,組曲ゴシック 作品25,Suite Gothique Op 25,Suite Gothique Op 25,Suita gotycka op. 25,Suíte Gótica Op 25,Suíte Gótica Op 25,"Сюита «Готика», соч. 25",Suite Gótica Op 25,Svit Gothique Op 25,Suite Gothique Op 25,Gotik Süit Op.25,Suite Gothique Op 25,
,"Love Divine, All Loves Excelling (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)",الحب الإلهي، الكل يحب التميز (بلاينويرن),热爱神圣，热爱卓越（Blaenwern）,熱愛神聖，熱愛卓越（Blaenwern）,"Goddelijke liefde, alle liefdes blinken uit (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)","Amour divin, tous les amours excellents (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)","Cinta Ilahi, Semua Suka Unggul (Blaenwern)","Amore divino, tutti gli amori eccellono (Blaenwern)","신성한 사랑, 모든 사랑은 탁월함(Blaenwern)","Love Divine, All Loves Excelling (ブレンヴェルン)","Love Divine, All Loves Excelling (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)","Miłość boska, cała miłość doskonała (Blaenwern)","Amor Divino, Todo Amor é Excelso (Blaenwern)","Amor Divino, Todo Amor é Excelso (Blaenwern)","Божественная любовь, вся любовь превосходна","Amor divino, todos los amores sobresalen (Blaenwern)","Love Divine, All Loves Excelling (Blaenwern)",ความรักอันศักดิ์สิทธิ์ ความรักอันเป็นเลิศ (เบลนเวิร์น),"İlahi Aşk, Tüm Sevgileri Aşan (Blaenwern)","Tình yêu thiêng liêng, tình yêu cao cả nhất (Blaenwern)",
